Prefix,Status,Children,VRF,Utilization,Tenant,Site,VLAN,Role,Description,Tags,Prefix (Flat),Depth,Pool,Marked Utilized
"•
        
    

131.112.190.64/26",Active,0,Global,0%,,,depe-3 (895),BRANCH,,Global,131.112.190.64/26,1,False,False
"•
        
    

131.112.191.0/26",Active,0,Global,0%,,,ircs-1 (615),BRANCH,,Global,131.112.191.0/26,1,False,False
"•
        
    

131.112.200.0/25",Active,0,Global,0%,,,noc-event-o1 (331),NOC,,Global,131.112.200.0/25,1,False,False
"•
        
    

131.112.200.128/25",Active,0,Global,0%,,,noc-event-o2 (332),NOC,,Global,131.112.200.128/25,1,False,False
"•
        
    

131.112.201.0/24",Active,0,Global,0%,,,noc-event-o3 (333),NOC,,Global,131.112.201.0/24,1,False,False
"•
        
    

131.112.202.0/23",Active,0,Global,0%,,,noc-event-o4 (334),NOC,,Global,131.112.202.0/23,1,False,False
"•
        
    

131.112.204.0/25",Active,0,Global,0%,,,noc-event-s1 (335),NOC,,Global,131.112.204.0/25,1,False,False
"•
        
    

131.112.204.128/25",Active,0,Global,0%,,,noc-event-s2 (336),NOC,,Global,131.112.204.128/25,1,False,False
"•
        
    

131.112.205.0/24",Active,0,Global,0%,,,noc-event-s3 (337),NOC,,Global,131.112.205.0/24,1,False,False
"•
        
    

131.112.206.0/23",Active,0,Global,0%,,,noc-event-s4 (338),NOC,,Global,131.112.206.0/23,1,False,False
"•
        
    

131.112.212.0/25",Active,0,Global,0%,,,noc-event-o5 (330),NOC,,Global,131.112.212.0/25,1,False,False
"•
        
    

131.112.225.0/26",Active,0,Global,0%,,,hst-1 (792),BRANCH,,Global,131.112.225.0/26,1,False,False
"•
        
    

131.112.237.0/28",Active,0,Global,0%,,,mot-1 (731),BRANCH,,Global,131.112.237.0/28,1,False,False
"•
        
    

131.112.237.48/28",Active,0,Global,0%,,,kyoiku-in-1 (922),BRANCH,,Global,131.112.237.48/28,1,False,False
"•
        
    

131.112.237.64/28",Active,0,Global,0%,,,kyoiku-in-2 (832),BRANCH,,Global,131.112.237.64/28,1,False,False
"•
        
    

131.112.237.80/28",Active,0,Global,0%,,,igs-3 (623),BRANCH,,Global,131.112.237.80/28,1,False,False
"•
        
    

131.112.237.96/28",Active,0,Global,0%,,,cic-1 (614),BRANCH,,Global,131.112.237.96/28,1,False,False
"•
        
    

131.112.237.112/28",Active,0,Global,0%,,,dis-6 (599),BRANCH,,Global,131.112.237.112/28,1,False,False
"•
        
    

131.112.237.128/27",Active,0,Global,0%,,,ee-2 (671),BRANCH,,Global,131.112.237.128/27,1,False,False
"•
        
    

131.112.240.0/26",Active,0,Global,0%,,,mue-1 (872),BRANCH,,Global,131.112.240.0/26,1,False,False
"•
        
    

131.112.240.64/26",Active,0,Global,0%,,,sangaku-1 (828),BRANCH,,Global,131.112.240.64/26,1,False,False
"•
        
    

131.112.240.192/27",Active,0,Global,0%,,,math-2 (861),BRANCH,,Global,131.112.240.192/27,1,False,False
"•
        
    

131.112.240.224/27",Active,0,Global,0%,,,total-3 (501),BRANCH,,Global,131.112.240.224/27,1,False,False
"•
        
    

131.112.241.0/26",Active,0,Global,0%,,,jim-1 (810),BRANCH,,Global,131.112.241.0/26,1,False,False
"•
        
    

131.112.241.64/26",Active,0,Global,0%,,,mono-1 (716),BRANCH,,Global,131.112.241.64/26,1,False,False
